cycle,capacity
2,1.8550045207910817
6,1.8431955317089987
10,1.8396018424355423
14,1.8306736044962053
17,1.8327002069419656
19,1.8285288846046388
21,1.8212011895697924
23,1.8151700106433282
26,1.8042980520967649
29,1.8231002302844226
31,1.8121253520255494
33,1.8046916382117766
35,1.790844349786295
38,1.783470722841926
41,1.7809386125310702
43,1.771209039672698
45,1.7686303996707076
47,1.7536304801917124
50,1.7462197416415093
53,1.7376647337053737
55,1.7315166735475835
57,1.7085949894470602
59,1.711469957068211
62,1.7075021373272627
65,1.7492382064360228
67,1.7327697147429955
69,1.7222313328292376
71,1.711846298984729
74,1.699267835126687
77,1.6940366439243106
79,1.6819027078768087
81,1.6769770618433686
83,1.6655229306478936
86,1.6571924575832084
89,1.6482241555294048
91,1.6387701497987262
93,1.6276486907262062
95,1.62215370227252
98,1.6140066510467586
101,1.6760516154424623
103,1.649300642552199
105,1.63238299185809
107,1.6164159719025777
110,1.6109028378249377
113,1.5954638693695657
116,1.726707440085764
118,1.7165673917429753
120,1.6958235570934848
122,1.6777783190792557
124,1.6606586897774192
127,1.6664109274827466
129,1.6468336174407805
131,1.6257639928779952
133,1.6121577411874595
135,1.6057366823755344
140,1.673645314879889
142,1.6404348572349936
144,1.6132653317422077
146,1.5920964324686278
149,1.5866011820698824
152,1.5800766490336253
154,1.5641732953289167
156,1.555618272193922
158,1.5402045278637397
161,1.5321613015959863
164,1.5316232403693415
166,1.5222595950771978
168,1.5065267126851283
170,1.5014219556532926
173,1.4963534117486457
176,1.5334262000312422
178,1.523845267514426
180,1.5011920994261239
182,1.492417671450291
184,1.483323851940123
187,1.4807376792294196
189,1.4735077809902477
191,1.46801928526661
193,1.4580923557119019
196,1.4478660988891399
199,1.4527808777541982
201,1.4425356364492432
203,1.4392712877203313
205,1.4286475681888218
208,1.4249026750004896
211,1.4698115324524124
213,1.4525819651050202
215,1.442834198908794
217,1.428376058807949
219,1.4154547844370715
222,1.454576670077708
224,1.4283179548274056
226,1.4197026883204058
228,1.4155606630306516
231,1.405680035419228
234,1.4084461071166137
236,1.3968547782872414
238,1.3935670371440676
240,1.3893644292809475
243,1.3785651415666713
246,1.384901110085747
248,1.3703251814242443
250,1.3733464385229082
252,1.3679487285504814
255,1.3567141087089647
258,1.4604310209194575
260,1.4500998937104097
262,1.4381406901824496
264,1.4283681980964316
266,1.4147874517552432
269,1.413889163393182
271,1.3989331662177225
273,1.3953322584033976
275,1.390046129540245
278,1.3860271454209647
281,1.388215260193751
283,1.3761826562394497
285,1.3647168898640165
287,1.3589854739373584
290,1.3462308764008801
293,1.4268427818454643
295,1.4064481483279663
297,1.3934907492075153
299,1.3882493512249316
301,1.3701878338420928
304,1.3796951665608619
306,1.3686586323935683
308,1.3627371779096438
310,1.3634051133928073
313,1.3518646035305233
316,1.3547969729652622
318,1.341051440640485
