cycle,capacity
1,1.89105229539079
3,1.880637027686859
5,1.8806626717011388
7,1.8807709009833444
9,1.8794508728285058
11,1.8807003517117404
13,1.8799352523566075
15,1.8815088124038797
17,1.8696907870385844
19,1.870052380139199
21,1.8700442394188577
24,1.8596518987766364
26,1.8590746560862206
28,1.8590084577709232
30,1.8593622586957048
32,1.8587355450601035
34,1.847817291322145
36,1.8485252916137047
38,1.848378951850034
41,1.8807805437609766
45,1.8814721597443598
49,1.8810954313244785
53,1.8710089649779995
57,1.8701995151941375
61,1.8706715362800985
65,1.8596124644020169
69,1.860033909718346
73,1.8591653109160768
77,1.8481398178778288
81,1.849201702126164
85,1.8834677437950846
89,1.8628211117905844
93,1.852085039652352
97,1.8469504648208708
101,1.836828431169018
105,1.8371619619672275
109,1.8316722583718854
113,1.8211470951317783
117,1.816506091511515
121,1.8113815601504555
125,1.8116056333939583
129,1.8060548955557403
133,1.8132041826994056
135,1.8062641938283535
139,1.7958310249900458
143,1.7858852600390451
147,1.7803268604502753
149,1.8150756899575577
153,1.8157025154845838
157,1.8002432178056673
161,1.7904476205609308
165,1.780343032300132
169,1.775328769596812
173,1.7702629734732853
177,1.760081061854204
181,1.749647593537689
185,1.749650075059311
189,1.745028739214683
193,1.7396457455286727
197,1.7285642277717963
201,1.723900324588418
205,1.7139788776485192
209,1.7139701997004613
213,1.7036521173638766
215,1.7040137474382486
219,1.6935716157343033
223,1.6876577363877656
227,1.6830744356583152
231,1.6779270142025482
235,1.6732060275966172
239,1.6674367208253988
243,1.6622662630667526
247,1.6574243065763063
251,1.652538684928734
255,1.6472174627573322
259,1.6364136810898071
263,1.6362554312048496
265,1.641119179218384
269,1.6315700789656966
273,1.621213282987236
277,1.6164273214762122
281,1.615823510161921
285,1.61672418029789
289,1.6108655863730026
293,1.6006603374309376
297,1.5959174487005663
301,1.5962179519462243
305,1.5958065114633972
309,1.5906507821480704
312,1.6888211161855506
315,1.6259938279733204
319,1.6157433862812898
323,1.6056626764846538
327,1.5949746921524348
331,1.5904102438871945
335,1.5853517062988178
339,1.5799737147242376
343,1.5752185465278068
347,1.569798484648868
351,1.5702565375950357
355,1.565249873909438
359,1.559633933561147
363,1.5649820533392105
366,1.57497949984227
370,1.5652811168780458
374,1.559755497470126
378,1.549897685670499
382,1.5438771531345021
386,1.5450187488690073
390,1.5445940154102908
394,1.5343086721758876
398,1.5287603942958483
402,1.5289260249179843
406,1.529091650133123
410,1.5239059324661248
414,1.5186675419100615
418,1.5136482266426952
422,1.5136050185229033
426,1.5139470614867965
430,1.5339599193158786
432,1.5391372798653098
436,1.5236247972838737
440,1.5135813035589147
444,1.5077850749847914
448,1.5031960676037333
452,1.4978220596995881
456,1.492848534633516
460,1.492414389867026
464,1.487482776538081
468,1.482535148640411
472,1.4827874322228984
476,1.476971179775059
480,1.4819015554137276
482,1.4981366198874824
484,1.4820775214392872
488,1.4771155312812152
492,1.4720772783056488
496,1.472248013656454
500,1.4670106672274665
504,1.4617672495335379
508,1.4566952670489708
512,1.451354972758956
516,1.451615926257375
520,1.4468161332173683
524,1.4467570607768785
528,1.4413797481446793
532,1.4362456252208178
536,1.4368154153924828
540,1.4362945145860047
544,1.4418575315878015
547,1.4672063484781797
551,1.4518640367848885
555,1.4471379752748499
559,1.441790586562399
563,1.431630947911111
567,1.4318084249673686
571,1.4262562585106868
575,1.4260877528924913
579,1.4212633510031694
583,1.4163272748795108
587,1.4165781829175994
591,1.4108401729425177
595,1.4109949628347804
599,1.4061714290398801
603,1.4063358479692922
607,1.4004552399066514
611,1.4217865046055154
613,1.4324552720625434
