cycle,capacity
1,1.8564874208181574
3,1.846327249719927
5,1.8353491942234077
7,1.8352625275821128
9,1.8346455082120419
11,1.8356616600675495
13,1.8351461429226603
15,1.8257567905665537
17,1.8247738529891333
19,1.824613268496936
21,1.8246195526864504
24,1.8142019357673917
26,1.8137521577549054
28,1.8134404914735822
30,1.8025980036306504
32,1.80210690024615
34,1.802579500826209
36,1.8030683142834096
38,1.8027776247196041
41,1.8470259949329193
45,1.847417311283644
49,1.8361774213478947
53,1.8257807475776242
57,1.8251136435078368
61,1.8255815042203762
65,1.8140311275083907
69,1.8147691941158939
73,1.813969388710352
77,1.802765665167823
81,1.804077040117352
85,1.8518025516704486
89,1.8307038456739428
93,1.8199041089501267
97,1.8093079637028517
101,1.80460990458052
105,1.7993770651972192
109,1.7884432335370462
113,1.7829230484252723
117,1.7730337158018288
121,1.773037755078937
125,1.7678721106662054
129,1.7623150704093087
133,1.7676172924938447
135,1.762668359743147
139,1.7517304870664143
143,1.7418496047960008
147,1.7360913511847138
149,1.7936240148573608
153,1.7831890223273275
157,1.7673642076278957
161,1.7570177850353066
165,1.7468706179837907
169,1.7417172507457144
173,1.7364225056478186
177,1.7263217239235826
181,1.7158065389330133
185,1.710533351135192
189,1.706014499648521
193,1.7003110272642588
197,1.6945798601797895
201,1.6849029086609286
205,1.6744741591159717
209,1.6745692479879102
213,1.663716375981405
215,1.659013868748246
219,1.6538540573335014
223,1.642653782130131
227,1.6378578430223698
231,1.6327350407099108
235,1.6277528915533617
239,1.622125485521159
243,1.6113256603765849
247,1.6065631397488385
251,1.6015142233917594
255,1.590369231400328
259,1.5857889968242211
263,1.5849430707374117
265,1.5955263892495937
269,1.5747301747801037
273,1.5649019950937946
277,1.5597659473370362
281,1.5594815668184234
285,1.55468935359061
289,1.5488741079890418
293,1.538236598942558
297,1.527914258251028
301,1.5285252629756445
305,1.522647325284378
309,1.5174859938489869
312,1.605818899130659
315,1.5638491446744425
319,1.5480915247767786
323,1.5323755631868592
327,1.5269528268489705
331,1.5169573017136326
335,1.5118975960142693
339,1.5065638960681105
343,1.5015453526671363
347,1.4908444050400238
351,1.485868384561201
355,1.480413677976106
359,1.4752095869031632
363,1.4859035988304024
366,1.4960918298136696
370,1.4808005946928984
374,1.4697543268466824
378,1.4539012274845928
382,1.4541462067235693
386,1.455023751906683
390,1.449042163761236
394,1.4386709371480566
398,1.433445432156979
402,1.4333958900838095
406,1.42806487344776
410,1.4229203181741186
414,1.417429032731308
418,1.412409228794446
422,1.412578792940193
426,1.4075983731469897
430,1.4333920485221476
432,1.4382550176792908
436,1.4173547174485526
440,1.406981663677643
444,1.4012037783587625
448,1.3967008232726328
452,1.391284788852726
456,1.3862287677978349
460,1.3804366761974138
464,1.3752364150256224
468,1.3705128024895008
472,1.3705085566270399
476,1.3647355108681518
480,1.375392016895762
482,1.3861115151535393
484,1.3698500035838939
488,1.3647827949260758
492,1.3543220466259964
496,1.3546417018378962
500,1.3547039213192407
504,1.349314997503458
508,1.3441891937970554
512,1.3389913790695755
516,1.3389145230206971
520,1.3340066759761655
524,1.3286444309174914
528,1.3231708992276219
532,1.3181691588445197
536,1.3184664436640334
540,1.318293040102702
544,1.323872422244268
547,1.3601216766554785
551,1.3395306867947354
555,1.3290286565120697
559,1.3236741274998955
563,1.318633896753293
567,1.3134751321324272
571,1.3132020634442203
575,1.3077959946944353
579,1.3030329186405918
583,1.3033573559038205
587,1.3034100438655642
591,1.2978870806495706
595,1.2980735056918902
599,1.293463613844243
603,1.288003392619118
607,1.2874525221379407
611,1.3090153642307354
613,1.3250793286429356
